t_ms,blink_left,blink_right,blink_mean,gaze_dx,gaze_dy,mouth_open,brow_left,brow_right,brow_mean,iris_r_left,iris_r_right,iris_r_mean,gconf_left,gconf_right,gconf_mean
1760904742257.903,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904742411.526,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904742418.808,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904742428.875,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904742435.975,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904742455.157,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904742486.877,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904742523.023,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904742562.779,0.000000,0.000000,0.000000,-0.024276,-0.002651,0.006225,1.000000,1.000000,1.000000,0.097861,0.098023,0.097942,1.000000,1.000000,1.000000
1760904742606.282,0.000000,0.000000,0.000000,0.015912,-0.004402,0.003085,1.000000,1.000000,1.000000,0.099067,0.096802,0.097934,1.000000,1.000000,1.000000
1760904742674.114,0.000000,0.000000,0.000000,-0.020963,-0.049150,0.005377,1.000000,1.000000,1.000000,0.099709,0.104493,0.102101,1.000000,1.000000,1.000000
1760904742741.753,0.000000,0.000000,0.000000,-0.065266,-0.072119,0.002238,1.000000,1.000000,1.000000,0.091628,0.105780,0.098704,1.000000,1.000000,1.000000
1760904742805.909,0.000000,0.000000,0.000000,-0.041767,-0.072533,0.007711,1.000000,1.000000,1.000000,0.092153,0.105038,0.098596,1.000000,1.000000,1.000000
1760904742874.771,0.000000,0.000000,0.000000,-0.010305,-0.121899,0.003195,1.000000,1.000000,1.000000,0.093371,0.103282,0.098326,1.000000,1.000000,1.000000
1760904742941.960,0.000000,0.000000,0.000000,0.005820,-0.038278,0.003901,1.000000,1.000000,1.000000,0.089036,0.111613,0.100325,1.000000,1.000000,1.000000
1760904743006.075,0.000000,0.000000,0.000000,0.022631,-0.102178,0.003879,1.000000,1.000000,1.000000,0.093200,0.106151,0.099676,1.000000,1.000000,1.000000
1760904743074.028,0.000000,0.000000,0.000000,0.034020,-0.017043,0.006516,1.000000,1.000000,1.000000,0.092413,0.097052,0.094732,1.000000,1.000000,1.000000
1760904743142.122,0.000000,0.000000,0.000000,-0.121609,-0.170453,0.012637,1.000000,1.000000,1.000000,0.082320,0.112876,0.097598,1.000000,1.000000,1.000000
1760904743205.759,0.000000,0.000000,0.000000,-0.079351,-0.113471,0.011318,1.000000,1.000000,1.000000,0.085173,0.114932,0.100053,1.000000,1.000000,1.000000
1760904743273.875,0.000000,0.000000,0.000000,-0.022363,-0.107170,0.006865,1.000000,1.000000,1.000000,0.092237,0.102754,0.097496,1.000000,1.000000,1.000000
1760904743341.637,0.000000,0.000000,0.000000,-0.041918,-0.066132,0.003833,1.000000,1.000000,1.000000,0.095982,0.098978,0.097480,1.000000,1.000000,1.000000
1760904743405.904,0.000000,0.000000,0.000000,-0.016100,-0.074500,0.002544,1.000000,1.000000,1.000000,0.096386,0.098985,0.097686,1.000000,1.000000,1.000000
1760904743473.600,0.000000,0.000000,0.000000,-0.034674,-0.042273,0.003123,1.000000,1.000000,1.000000,0.093005,0.099459,0.096232,1.000000,1.000000,1.000000
1760904743541.754,0.000000,0.000000,0.000000,0.018831,-0.089330,0.008837,1.000000,1.000000,1.000000,0.092736,0.100742,0.096739,1.000000,1.000000,1.000000
1760904743606.123,0.000000,0.003432,0.001716,-0.003555,-0.078168,0.007338,1.000000,1.000000,1.000000,0.092318,0.098388,0.095353,1.000000,1.000000,1.000000
1760904743673.929,0.000000,0.000000,0.000000,-0.117037,-0.031628,0.043156,1.000000,1.000000,1.000000,0.085494,0.107354,0.096424,1.000000,1.000000,1.000000
1760904743742.113,0.000000,0.000000,0.000000,-0.103490,-0.082901,0.007762,1.000000,1.000000,1.000000,0.083468,0.105511,0.094489,1.000000,1.000000,1.000000
1760904743806.013,0.000000,0.000000,0.000000,-0.091620,-0.080481,0.016086,1.000000,1.000000,1.000000,0.090241,0.105222,0.097732,1.000000,1.000000,1.000000
1760904743873.954,0.000000,0.000000,0.000000,-0.144633,-0.068452,0.029379,1.000000,1.000000,1.000000,0.083753,0.109503,0.096628,1.000000,1.000000,1.000000
1760904743941.638,0.000000,0.000000,0.000000,-0.169914,-0.014053,0.014568,1.000000,1.000000,1.000000,0.084356,0.106764,0.095560,1.000000,1.000000,1.000000
1760904744005.719,0.000000,0.000000,0.000000,-0.141607,-0.080845,0.006742,1.000000,1.000000,1.000000,0.085800,0.106959,0.096380,1.000000,1.000000,1.000000
1760904744074.076,0.077335,0.000000,0.038667,-0.060273,-0.018264,0.022836,1.000000,1.000000,1.000000,0.088507,0.091551,0.090029,1.000000,1.000000,1.000000
1760904744141.859,0.004210,0.000000,0.002105,0.036367,-0.042565,0.008697,1.000000,1.000000,1.000000,0.092570,0.098306,0.095438,1.000000,1.000000,1.000000
1760904744205.800,0.000000,0.000000,0.000000,-0.018183,-0.053574,0.003321,1.000000,1.000000,1.000000,0.084872,0.103795,0.094333,1.000000,1.000000,1.000000
1760904744273.836,0.000000,0.000000,0.000000,-0.058446,-0.048055,0.004762,1.000000,1.000000,1.000000,0.086242,0.106259,0.096250,1.000000,1.000000,1.000000
1760904744342.262,0.000000,0.000000,0.000000,-0.135528,-0.029871,0.004795,1.000000,1.000000,1.000000,0.084374,0.108986,0.096680,1.000000,1.000000,1.000000
1760904744406.006,0.005777,0.000000,0.002888,-0.193236,-0.010011,0.008143,1.000000,1.000000,1.000000,0.093909,0.105153,0.099531,1.000000,1.000000,1.000000
1760904744474.359,0.000000,0.000000,0.000000,-0.192007,-0.029773,0.005595,1.000000,1.000000,1.000000,0.094342,0.108913,0.101628,1.000000,1.000000,1.000000
1760904744541.922,0.000000,0.000000,0.000000,-0.129607,-0.031456,0.005083,1.000000,1.000000,1.000000,0.100057,0.104257,0.102157,1.000000,1.000000,1.000000
1760904744606.080,0.000000,0.000000,0.000000,-0.049962,-0.113928,0.006090,1.000000,1.000000,1.000000,0.101570,0.103784,0.102677,1.000000,1.000000,1.000000
1760904744674.005,0.000000,0.000000,0.000000,-0.117264,-0.079716,0.021342,1.000000,1.000000,1.000000,0.095821,0.105283,0.100552,1.000000,1.000000,1.000000
1760904744741.660,0.000000,0.000000,0.000000,-0.113175,-0.115573,0.004296,1.000000,1.000000,1.000000,0.097916,0.104976,0.101446,1.000000,1.000000,1.000000
1760904744805.861,0.000000,0.000000,0.000000,-0.175140,-0.048543,0.001956,1.000000,1.000000,1.000000,0.095929,0.106081,0.101005,1.000000,1.000000,1.000000
1760904744873.944,0.000000,0.000000,0.000000,-0.146948,-0.030669,0.002304,1.000000,1.000000,1.000000,0.094727,0.105183,0.099955,1.000000,1.000000,1.000000
1760904744937.805,0.000000,0.000000,0.000000,-0.125636,-0.043623,0.006651,1.000000,1.000000,1.000000,0.096542,0.099721,0.098131,1.000000,1.000000,1.000000
1760904745006.248,0.000000,0.000000,0.000000,-0.150266,-0.051321,0.004322,1.000000,1.000000,1.000000,0.091957,0.108209,0.100083,1.000000,1.000000,1.000000
1760904745074.291,0.000000,0.000000,0.000000,-0.140762,-0.091449,0.000512,1.000000,1.000000,1.000000,0.094710,0.106160,0.100435,1.000000,1.000000,1.000000
1760904745138.264,0.000000,0.000000,0.000000,-0.088620,-0.106562,0.001438,1.000000,1.000000,1.000000,0.097641,0.105171,0.101406,1.000000,1.000000,1.000000
1760904745205.704,0.000000,0.000000,0.000000,-0.094556,-0.079602,0.004679,1.000000,1.000000,1.000000,0.097779,0.103989,0.100884,1.000000,1.000000,1.000000
1760904745273.860,0.000000,0.000000,0.000000,-0.108749,-0.082068,0.004651,1.000000,1.000000,1.000000,0.100962,0.103568,0.102265,1.000000,1.000000,1.000000
1760904745337.750,0.000000,0.000000,0.000000,-0.112266,-0.114225,0.005944,1.000000,1.000000,1.000000,0.093487,0.102939,0.098213,1.000000,1.000000,1.000000
1760904745405.738,0.001700,0.000000,0.000850,-0.124254,-0.060958,0.006008,1.000000,1.000000,1.000000,0.094045,0.100024,0.097034,1.000000,1.000000,1.000000
1760904745473.858,0.000000,0.000000,0.000000,-0.070177,-0.061123,0.003929,1.000000,1.000000,1.000000,0.092482,0.102274,0.097378,1.000000,1.000000,1.000000
1760904745537.863,0.000000,0.000000,0.000000,-0.083424,-0.088722,0.005836,1.000000,1.000000,1.000000,0.089010,0.107122,0.098066,1.000000,1.000000,1.000000
1760904745605.572,0.000000,0.000000,0.000000,-0.139677,-0.076234,0.002691,1.000000,1.000000,1.000000,0.082905,0.107680,0.095293,1.000000,1.000000,1.000000
1760904745673.677,0.163964,0.000000,0.081982,-0.184814,-0.056062,0.008107,1.000000,1.000000,1.000000,0.083714,0.107398,0.095556,1.000000,1.000000,1.000000
1760904745737.861,0.031723,0.000000,0.015861,-0.097895,-0.056578,0.004480,1.000000,1.000000,1.000000,0.084931,0.103194,0.094062,1.000000,1.000000,1.000000
1760904745805.783,0.000000,0.000000,0.000000,-0.158116,-0.068914,0.001683,1.000000,1.000000,1.000000,0.080676,0.108600,0.094638,1.000000,1.000000,1.000000
1760904745873.825,0.006332,0.042800,0.024566,-0.159613,-0.137298,0.003837,1.000000,1.000000,1.000000,0.085330,0.111879,0.098604,1.000000,1.000000,1.000000
