t_ms,blink_left,blink_right,blink_mean,gaze_dx,gaze_dy,mouth_open,brow_left,brow_right,brow_mean,iris_r_left,iris_r_right,iris_r_mean,gconf_left,gconf_right,gconf_mean
1760991180351.180,0.637130,0.444715,0.540923,-0.160990,0.098948,0.012133,1.000000,1.000000,1.000000,0.078849,0.089956,0.084402,1.000000,1.000000,1.000000
1760991180534.119,0.428805,0.144394,0.286599,-0.179979,-0.045235,0.022242,1.000000,1.000000,1.000000,0.084415,0.097399,0.090907,1.000000,1.000000,1.000000
1760991180606.358,0.219310,0.000000,0.109655,-0.112258,-0.008740,0.014679,1.000000,1.000000,1.000000,0.089239,0.098952,0.094095,1.000000,1.000000,1.000000
1760991180705.137,0.246644,0.000000,0.123322,-0.165658,-0.026937,0.023947,1.000000,1.000000,1.000000,0.083946,0.103281,0.093613,1.000000,1.000000,1.000000
1760991180822.819,0.215921,0.000000,0.107961,-0.169394,-0.039369,0.034244,1.000000,1.000000,1.000000,0.086645,0.103920,0.095283,1.000000,1.000000,1.000000
1760991180941.010,0.126356,0.000000,0.063178,-0.155079,-0.050294,0.022652,1.000000,1.000000,1.000000,0.084254,0.106384,0.095319,1.000000,1.000000,1.000000
1760991181052.299,0.047226,0.000000,0.023613,-0.192111,-0.084741,0.030550,1.000000,1.000000,1.000000,0.082049,0.108941,0.095495,1.000000,1.000000,1.000000
1760991181168.509,0.080464,0.000000,0.040232,-0.234088,-0.098297,0.026013,1.000000,1.000000,1.000000,0.079910,0.113508,0.096709,1.000000,1.000000,1.000000
1760991181291.531,0.042776,0.000000,0.021388,-0.156235,-0.074799,0.024322,1.000000,1.000000,1.000000,0.082645,0.105432,0.094039,1.000000,1.000000,1.000000
1760991181406.241,0.002517,0.000000,0.001259,-0.153482,-0.093191,0.050856,1.000000,1.000000,1.000000,0.086036,0.106892,0.096464,1.000000,1.000000,1.000000
1760991181520.378,0.000000,0.000000,0.000000,-0.154565,-0.094625,0.003002,1.000000,1.000000,1.000000,0.088957,0.109987,0.099472,1.000000,1.000000,1.000000
1760991181652.601,0.000000,0.000000,0.000000,-0.148394,-0.119489,0.008494,1.000000,1.000000,1.000000,0.089610,0.108682,0.099146,1.000000,1.000000,1.000000
1760991181784.036,0.000000,0.000000,0.000000,-0.110235,-0.172888,0.010749,1.000000,1.000000,1.000000,0.091586,0.102692,0.097139,1.000000,1.000000,1.000000
1760991181920.238,0.000000,0.000000,0.000000,-0.155327,-0.128079,0.018018,1.000000,1.000000,1.000000,0.087837,0.104531,0.096184,1.000000,1.000000,1.000000
1760991182052.296,0.018192,0.000000,0.009096,-0.214934,-0.115553,0.004852,1.000000,1.000000,1.000000,0.084264,0.109726,0.096995,1.000000,1.000000,1.000000
1760991182185.105,0.000000,0.000000,0.000000,-0.156714,-0.092841,0.016873,1.000000,1.000000,1.000000,0.085312,0.110081,0.097696,1.000000,1.000000,1.000000
