t_ms,blink_left,blink_right,blink_mean,gaze_dx,gaze_dy,mouth_open,brow_left,brow_right,brow_mean,iris_r_left,iris_r_right,iris_r_mean,gconf_left,gconf_right,gconf_mean
1760904768225.215,0.000000,0.116065,0.058032,-0.059243,-0.149821,0.075985,1.000000,1.000000,1.000000,0.101773,0.088759,0.095266,1.000000,1.000000,1.000000
1760904768377.343,0.000000,0.029584,0.014792,-0.107439,-0.140679,0.065214,1.000000,1.000000,1.000000,0.104855,0.096983,0.100919,1.000000,1.000000,1.000000
1760904768395.378,0.000000,0.004658,0.002329,-0.068399,-0.107928,0.074854,1.000000,1.000000,1.000000,0.100445,0.088100,0.094273,1.000000,1.000000,1.000000
1760904768406.487,0.000000,0.000000,0.000000,-0.098458,-0.095621,0.071176,1.000000,1.000000,1.000000,0.096751,0.091103,0.093927,1.000000,1.000000,1.000000
1760904768421.149,0.000000,0.000000,0.000000,-0.095997,-0.104072,0.065076,1.000000,1.000000,1.000000,0.094467,0.091289,0.092878,1.000000,1.000000,1.000000
1760904768500.817,0.000000,0.000000,0.000000,-0.115597,-0.114353,0.043703,1.000000,1.000000,1.000000,0.094763,0.092191,0.093477,1.000000,1.000000,1.000000
1760904768568.867,0.096894,0.000000,0.048447,-0.048322,-0.030310,0.057557,1.000000,1.000000,1.000000,0.098780,0.094691,0.096736,1.000000,1.000000,1.000000
1760904768633.383,0.033479,0.000000,0.016740,-0.066156,-0.030442,0.035704,1.000000,1.000000,1.000000,0.091488,0.104106,0.097797,1.000000,1.000000,1.000000
1760904768700.708,0.086726,0.000000,0.043363,-0.069792,-0.027397,0.053732,1.000000,1.000000,1.000000,0.091594,0.098705,0.095149,1.000000,1.000000,1.000000
1760904768764.931,0.194384,0.084611,0.139498,-0.134562,-0.070721,0.034277,1.000000,1.000000,1.000000,0.087509,0.094618,0.091063,1.000000,1.000000,1.000000
1760904768834.160,0.278735,0.086531,0.182633,-0.140307,-0.082271,0.071194,1.000000,1.000000,1.000000,0.081213,0.101600,0.091407,1.000000,1.000000,1.000000
1760904768900.813,0.190174,0.000000,0.095087,-0.112200,-0.064816,0.054462,1.000000,1.000000,1.000000,0.082065,0.102494,0.092279,1.000000,1.000000,1.000000
1760904768964.786,0.029374,0.000000,0.014687,-0.104633,-0.068718,0.000895,1.000000,1.000000,1.000000,0.087644,0.103183,0.095413,1.000000,1.000000,1.000000
1760904769033.141,0.100950,0.000000,0.050475,-0.088938,-0.071310,0.064518,1.000000,1.000000,1.000000,0.086311,0.101007,0.093659,1.000000,1.000000,1.000000
1760904769100.883,0.000000,0.000000,0.000000,-0.066989,-0.002169,0.045189,1.000000,1.000000,1.000000,0.090084,0.106885,0.098485,1.000000,1.000000,1.000000
1760904769164.786,0.087242,0.000000,0.043621,-0.006858,0.017214,0.008777,1.000000,1.000000,1.000000,0.090072,0.090397,0.090235,1.000000,1.000000,1.000000
