brow_l_area,brow_l_disp,brow_l_perim,brow_l_tri_area,brow_l_vel,brow_r_area,brow_r_disp,brow_r_perim,brow_r_tri_area,brow_r_vel,eye_l_area,eye_l_disp,eye_l_perim,eye_l_vel,eye_r_area,eye_r_disp,eye_r_perim,eye_r_vel,lipCornerL_height,lipCornerR_height,lip_press,lip_tri_area,lips_out_area,lips_out_disp,lips_out_perim,lips_out_vel,mouth_corners_area,mouth_corners_disp,mouth_corners_perim,mouth_corners_vel,mouth_open,oval_area,oval_disp,oval_perim,oval_vel,t,evt_brow_l_vel,evt_lipCornerL_height,evt_lipCornerR_height,evt_lip_press,evt_lips_out_disp,evt_mouth_corners_disp,evt_mouth_open,evt_brow_r_vel,evt_eye_l_vel,evt_eye_r_vel
428.23515046175015,5.575072,170.37536860323667,45.52664368201567,34.908382,284.01424733117426,2.1349409,132.28701678933965,4.475882490688562,13.36796,328.76246331655034,2.985217,103.73077058874175,18.691975,321.9481887538797,0.89636993,91.10404225681008,5.612632,5.1055311326942325,5.152218191414763,77.72330326643518,45.40540873454783,1179.969019635548,2.5611975,171.87768084890126,16.03697,0.0,2.379621,155.44660653287036,14.900028,3.6856144260730725,52036.97629745074,6.633877,829.2884205937886,41.53811,1760991087084.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398.7533926883516,2.4496367,172.88036146139743,41.57688460047562,31.938122,233.37440063662135,1.884361,133.13401006500493,1.5456964060998024,24.568111,382.0721389589414,1.8014553,109.67693335416435,23.487194,404.6019787257563,2.4841251,96.17345084454575,32.38778,5.103215669146747,4.631360626488386,77.57653314709863,2.406400240112164,1156.7824710192424,0.92025506,169.66849028355477,11.998194,0.0,1.0270922,155.15306629419726,13.391126,0.7367157058145579,52156.18013467869,1.1812544,830.3351693983105,15.401078,1760991087161.4485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
404.79455176135514,5.256347,172.09657687156536,42.87043338224384,54.33781,254.47865170107926,1.7715635,132.23315712155096,1.434135783428752,18.313646,307.8852306706269,1.728862,103.3412560550734,17.872215,374.67864115278945,1.8465654,94.62350515951925,19.088982,5.612932505045371,5.313852093074174,79.13224510488944,47.84519145844925,1123.240999804206,2.8864474,173.63850391750913,29.838827,0.0,2.3566988,158.26449020977887,24.362514,4.405809247295808,51943.788610574265,4.220144,829.6310923112436,43.62599,1760991087258.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
362.77838563698793,0.51147914,171.78657653887785,38.509285101484934,5.164711,251.56347362921818,0.76637155,128.91127779518752,2.8542336289261323,7.738513,312.30640815846743,1.033794,105.16264476875591,10.438837,357.46664346698424,1.6851324,93.13395109304585,17.01579,5.616984899254585,5.062665600767698,78.07576139614687,94.35374278142993,1086.2269444176159,0.7398572,171.742169831915,7.4707804,0.0,0.8172422,156.15152279229375,8.252183,6.085194076722719,51350.43973415658,1.6932461,826.5121552635994,17.097721,1760991087357.2166,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
337.8045090274304,1.5455719,170.57429750792215,34.87628560356841,15.500373,204.9322082427148,2.7576892,124.65085757097177,1.3556307924617288,27.656569,408.31235083329216,1.1739591,108.25442923746546,11.773509,399.92881462532705,1.9866431,94.98304111392574,19.923826,5.5719004336540765,4.802818908892314,77.69892231681953,10.071211456661683,1126.9882136269396,0.5083618,170.7897809243641,5.0983057,0.0,0.4708282,155.39784463363907,4.721885,2.606359232718172,51169.71111026653,0.8622811,823.8409845520085,8.647723,1760991087456.9285,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
389.71152151823645,2.837998,168.1331141027243,38.724017607106596,26.754892,239.86232498570686,1.4261869,124.95964373918987,1.5658535855690217,13.4452095,418.6692868286542,1.7099038,108.47458014618562,16.119919,457.8994653146265,1.7186747,98.32254843625081,16.202604,5.652023376733153,4.981581531251206,77.00979365908127,65.48266365229932,1081.309863913237,1.6173565,169.89232282718677,15.247439,0.0,1.1582727,154.01958731816254,10.919481,5.1892949989773225,50909.48088431802,1.6956353,822.1433642724774,15.985405,1760991087563.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354.80030392429154,0.7030586,169.72900183140214,37.320003341082575,7.1727633,239.89919934107775,1.2527361,125.90417887982095,2.923575980538581,12.780699,417.5306666799288,0.9976428,106.8655406789424,10.178178,454.2402690001326,1.5922194,96.8180825579653,16.244183,5.497451608390133,5.04650003573523,76.97670218351621,61.13015140080234,1076.3750582881225,0.73504966,169.72243819303577,7.4991426,0.0,0.3845024,153.95340436703242,3.9227808,5.166002727253967,51239.67622831806,1.9336417,824.371999711575,19.727451,1760991087661.0203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.34623926669315,0.8847696,172.6641478583838,42.212738856912125,8.869198,250.60344372856574,2.6252315,120.80367722767907,0.5768936542240128,26.316114,407.56746557941995,0.5937255,108.63888283983961,5.951684,441.2190868130553,1.2604163,97.57438237186848,12.634794,5.601797297818729,4.985507251242659,75.52288943728827,140.38514358512086,1139.2441384604704,1.2865466,168.8315171551538,12.896731,0.0,1.2528698,151.04577887457654,12.559147,7.1631348561175745,50975.88685987527,3.8609483,823.4330751025184,38.703316,1760991087760.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394.5497533936278,3.3289628,171.0584058455948,41.850712369642814,33.068417,230.19471140313783,4.6513605,114.59867230921914,0.290246922655071,46.204525,415.0786087725905,0.8166208,107.098109994262,8.111944,410.5524574042273,3.0482512,91.42460566191225,30.279953,6.2844346934452195,5.257434535889634,69.37321405888136,164.80164864716352,1197.7159773682324,2.4938693,164.7239461669374,24.772976,0.0,2.5284972,138.74642811776272,25.116953,10.860713048850634,49237.73102415326,2.5722356,812.2482718673541,25.55143,1760991087861.4468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359.3536962307032,1.4446355,171.2405213526652,37.8789751033734,14.527255,241.0446269207743,1.3617696,109.41317142642599,2.6602208560588196,13.693954,409.4492292240273,0.94890755,107.54706693909343,9.542215,438.30118509380526,1.2674391,95.26520627357904,12.745367,5.8577811020149975,4.889793626865775,65.02550999956345,187.2150363763729,1158.9364840374174,1.2187912,157.07410383791898,12.256165,0.0,2.1653757,130.0510199991269,21.77502,11.448468566352009,48458.00264188124,1.3309553,807.1640824953741,13.384087,1760991087960.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
